256;16;8;0.021453;1.84253e-12
256;32;8;0.003799;1.83653e-12
256;64;8;0.003117;1.83631e-12
256;128;8;0.005549;1.83631e-12
256;256;8;0.003725;1.82832e-12
512;16;8;0.158079;7.32814e-12
512;32;8;0.021288;7.3187e-12
512;64;8;0.009636;7.3116e-12
512;128;8;0.017429;7.30471e-12
512;256;8;0.036424;7.29972e-12
1024;16;8;1.312690;2.91375e-11
1024;32;8;0.164702;2.91401e-11
1024;64;8;0.056586;2.91351e-11
1024;128;8;0.060349;2.91351e-11
1024;256;8;0.120793;2.91106e-11
2048;16;8;12.736229;1.16329e-10
2048;32;8;1.379199;1.16339e-10
2048;64;8;0.438256;1.16353e-10
2048;128;8;0.367418;1.16368e-10
2048;256;8;0.435022;1.16325e-10
4096;16;8;538.941507;4.66193e-10
4096;32;8;12.886129;4.66215e-10
4096;64;8;3.539667;4.66207e-10
4096;128;8;2.801115;4.6619e-10
4096;256;8;2.670755;4.66151e-10
